BIN:ID,:LABEL,company
BEAJEBAAIIFD,EDU,Школа 1
JHACEAAADIGE,EDU,Школа 2
ABBBEAAADGCG,EDU,Школа 3
BFAJEAAAIDHE,EDU,Школа 4
JDAGEAAAACGC,EDU,Школа 5
JJBAEAAABDDB,EDU,Школа 6
JHACEAAAACJF,EDU,Школа 7
BFAJEAAAEIBH,EDU,Школа 8
JIABEAAACJED,EDU,Школа 9
JHBBEAAABGFJ,EDU,Школа 10
ABBAEAAAEDID,EDU,Школа 11
AFBAEAAAGGAE,EDU,Школа 12
AEAIEAAAEDAF,EDU,Школа 13
AAAEEAAAEIJJ,EDU,Школа 14
AABAEAAACBCH,EDU,Школа 15
JJAJEAAABHEI,EDU,Школа 16
JFAGEAAABDCD,EDU,Школа 17
JHAIEAAAAJIA,EDU,Школа 18
JDAFEAAAADAI,EDU,Школа 19
JHABEAAACABD,EDU,Школа 20
AIAIEAAAJHJB,EDU,Школа 21
JHACEAAACIHG,EDU,Школа 22
ACBBEAAAEGCG,EDU,Школа 23
JJAGEAAACFEH,EDU,Школа 24
JHAEEAAAAHJI,EDU,Школа 25
JJAFEAAADECC,EDU,Школа 26
JHBCEAAACIGJ,EDU,Школа 27
JHBAEAAABFBG,EDU,Школа 28
JGBCEAAAAFFD,EDU,Школа 29
AGBBEAAAFEID,EDU,Школа 30
ABBBEAAADGEG,EDU,Школа 31
JHADEAAACEED,EDU,Школа 32
JHAEEAAADABJ,EDU,Школа 33
JHACEAAADCFI,EDU,Школа 34
JJAJEAAACHEG,EDU,Школа 35
BHAIEAAACHJB,EDU,Школа 36
ABBBEAAADEJI,EDU,Школа 37
BAADEAAAGAFE,EDU,Школа 38
AIAIEAAAFFIJ,EDU,Школа 39
AAABEAAADBAG,EDU,Школа 40
